player_id,player_name,at_bat,rbi_average,hit_average,line_average,ground_average,fly_average,strikeout_average,lineup_position
hicka001,Aaron Hicks,1146,0.0951,0.2225,0.1719,0.3691,0.233,0.2391,8         
saunm001,Michael Saunders,2236,0.1082,0.2352,0.157,0.3171,0.246,0.2929,7         
cabra002,Asdrubal Cabrera,4661,0.1225,0.2688,0.1727,0.3647,0.2875,0.1942,2         
youne003,Eric Young,1506,0.0584,0.2463,0.1587,0.4841,0.1819,0.1932,1         
bettm001,Mookie Betts,1458,0.1427,0.3038,0.2188,0.3567,0.3045,0.1324,1         
franj004,Jeff Francoeur,5260,0.1327,0.261,0.1555,0.347,0.3032,0.2053,6         
herro001,Odubel Herrera,1078,0.0835,0.2913,0.2152,0.3729,0.1772,0.244,1         
martl004,Leonys Martin,1850,0.0903,0.2524,0.1719,0.4103,0.1968,0.2427,1         
kelld001,Don Kelly,1098,0.0893,0.2295,0.174,0.3224,0.3652,0.1557,6         
forsl001,Logan Forsythe,2037,0.0997,0.2548,0.1905,0.3289,0.2685,0.2224,1         
wietm001,Matt Wieters,3134,0.1394,0.2559,0.1627,0.3385,0.3019,0.2077,5         
rodrs002,Sean Rodriguez,2165,0.1196,0.2337,0.1381,0.3312,0.2702,0.2822,9         
bogax001,Xander Bogaerts,1847,0.1197,0.2859,0.183,0.379,0.2463,0.203,3         
avila001,Alex Avila,2253,0.13,0.2397,0.1531,0.3089,0.2246,0.3245,8         
venaw001,Will Venable,2836,0.1083,0.2493,0.1488,0.3695,0.2285,0.2638,1         
gyorj001,Jedd Gyorko,1707,0.1347,0.2378,0.1921,0.314,0.2507,0.2496,5         
cabrm002,Melky Cabrera,5631,0.1213,0.2857,0.193,0.4353,0.2575,0.1312,2         
norrd001,Derek Norris,1788,0.1247,0.2332,0.1896,0.2959,0.2438,0.2757,7         
utlec001,Chase Utley,6384,0.153,0.2784,0.1873,0.3293,0.3225,0.1726,3         
smits002,Seth Smith,3252,0.131,0.2611,0.183,0.337,0.2688,0.2208,2         
barnd001,Darwin Barney,2200,0.08,0.2486,0.1932,0.425,0.2682,0.1295,8         
ramia003,Alexei Ramirez,5134,0.1149,0.2702,0.1786,0.4349,0.2746,0.1266,2         
myerw001,Wil Myers,1484,0.1422,0.2574,0.1867,0.3491,0.2049,0.2668,2         
gosea001,Anthony Gose,1128,0.0612,0.2402,0.1516,0.4149,0.1303,0.3129,9         
turnj001,Justin Turner,2070,0.1362,0.2816,0.2237,0.3643,0.2488,0.1734,3         
navad002,Daniel Nava,1518,0.1219,0.2615,0.1884,0.3188,0.278,0.2299,6         
tholj001,Josh Thole,1336,0.0831,0.2418,0.1759,0.4439,0.235,0.1602,8         
gomec002,Carlos Gomez,3910,0.1159,0.2565,0.1517,0.3506,0.2573,0.2555,1         
tulot001,Troy Tulowitzki,4552,0.1654,0.292,0.1837,0.3493,0.2904,0.188,4         
lawrb002,Brett Lawrie,2217,0.1141,0.2607,0.171,0.3739,0.2445,0.2197,6         
adamm002,Matt Adams,1381,0.1521,0.2701,0.2158,0.2925,0.2534,0.2462,4         
hernc005,Cesar Hernandez,1187,0.0741,0.2805,0.2047,0.4583,0.1281,0.2199,1         
ruizc001,Carlos Ruiz,3414,0.1183,0.266,0.1924,0.4048,0.2815,0.135,8         
howar001,Ryan Howard,5707,0.2092,0.2585,0.1668,0.2748,0.2457,0.3229,4         
troum001,Mike Trout,2997,0.1658,0.306,0.2022,0.305,0.2436,0.2616,2         
jasoj001,John Jaso,1968,0.125,0.2637,0.1961,0.3806,0.2571,0.1758,1         
linda001,Adam Lind,4310,0.1541,0.2705,0.1742,0.3599,0.2657,0.2084,4         
lowrj001,Jed Lowrie,2821,0.1209,0.2577,0.2021,0.285,0.3442,0.1829,2         
mesod001,Devin Mesoraco,1017,0.1426,0.237,0.1917,0.3324,0.2625,0.2222,8         
franj004,Jeff Francoeur,5260,0.1327,0.261,0.1555,0.347,0.3032,0.2053,6         
braur002,Ryan Braun,5249,0.1785,0.3042,0.1671,0.3759,0.2595,0.2038,3         
headc001,Chase Headley,4524,0.1174,0.2633,0.176,0.3397,0.2381,0.2533,3         
