GameId,AwayTeamId,Inning,BattingTeam,Outs,Balls,Strikes,PitchSequence,AwayScore,HomeScore,BatterId,BatterHand,ResultBatterId,ResultBatterHand,PitcherId,PitcherHand,ResultPitcherId,ResultPitcherHand,Catcher,FirstBaseman,SecondBaseman,ThirdBaseman,Shortstop,LeftFielder,CenterFielder,RightFielder,Runner1Id,Runner2Id,Runner3Id,EventText,LeadOffFlag,PinchHitFlag,DefensivePosition,LineupPosition,EventType,BatterEventFlag,OfficialTimeAtBatFlag,HitValue,SacrificeHitFlag,SacrificeFlyFlag,OutOnPlay,DoublePlayFlag,TriplePlayFlag,RbiOnPlay,WildPitchFlag,PassedBallFlag,FieldedBy,BattedBallType,BuntFlag,FoulFlag,HitLocation,NumberOfErrors,FirstErrorPlayer,FirstErrorType,SecondErrorPlayer,SecondErrorType,ThirdErrorPlayer,ThirdErrorType,BatterDestination,Runner1Destination,Runner2Destination,Runner3Destination,PlayOnBatter,PlayOnRunner1,PlayOnRunner2,PlayOnRunner3,Runner1StolenBaseFlag,Runner2StolenBaseFlag,Runner3StolenBaseFlag,Runner1CaughtStealingFlag,Runner2CaughtStealingFlag,Runner3CaughtStealingFlag,Runner1PickOffFlag,Runner2PickOffFlag,Runner3PickOffFlag,PitcherChargedWithRunner1,PitcherChargedWithRunner2,PitcherChargedWithRunner3,NewGameFlag,EndGameFlag,PinchRunner1Flag,PinchRunner2Flag,PinchRunner3Flag,RunnerRemovedForPinchRunner1,RunnerRemovedForPinchRunner2,RunnerRemovedForPinchRunner3,BatterRemovedForPinchHitter,PositionOfBatterRemovedForPinchHitter,FielderWithFirstPutout,FielderWithSecondPutout,FielderWithThirdPutout,Assist1Fielder,Assist2Fielder,Assist3Fielder,Assist4Fielder,Assist5Fielder,EventNumber,GameDate,GameNumber
ANA201604240,SEA,3,0,2,2,1,BSBX,4,3,seagk001,L,seagk001,L,shoem001,R,shoem001,R,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,NULL,NULL,NULL,5/L,0,0,5,6,2,1,1,0,0,0,1,0,0,0,0,0,5,L,0,0,NULL,0,0,N,0,N,0,N,0,0,0,0,5,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,5,0,0,0,0,0,0,0,25,2016/04/24,0
ANA201604240,SEA,3,1,0,1,2,CCBX,4,3,giavj001,R,giavj001,R,milew001,L,milew001,L,clevs001,linda001,canor001,seagk001,martk001,aokin001,martl004,smits002,NULL,NULL,NULL,63/G,1,0,4,2,2,1,1,0,0,0,1,0,0,0,0,0,6,G,0,0,NULL,0,0,N,0,N,0,N,0,0,0,0,63,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,6,0,0,0,0,26,2016/04/24,0
ANA201604240,SEA,3,1,1,1,2,CBCC,4,3,troum001,R,troum001,R,milew001,L,milew001,L,clevs001,linda001,canor001,seagk001,martk001,aokin001,martl004,smits002,NULL,NULL,NULL,K,0,0,8,3,3,1,1,0,0,0,1,0,0,0,0,0,0,NULL,0,0,NULL,0,0,N,0,N,0,N,0,0,0,0,2,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,2,0,0,0,0,0,0,0,27,2016/04/24,0
ANA201604240,SEA,3,1,2,0,2,CFX,4,3,pujoa001,R,pujoa001,R,milew001,L,milew001,L,clevs001,linda001,canor001,seagk001,martk001,aokin001,martl004,smits002,NULL,NULL,NULL,S9/L,0,0,10,4,20,1,1,1,0,0,0,0,0,0,0,0,9,L,0,0,NULL,0,0,N,0,N,0,N,1,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,28,2016/04/24,0
ANA201604240,SEA,3,1,2,2,0,BBX,4,3,calhk001,L,calhk001,L,milew001,L,milew001,L,clevs001,linda001,canor001,seagk001,martk001,aokin001,martl004,smits002,pujoa001,NULL,NULL,7/L+,0,0,9,5,2,1,1,0,0,0,1,0,0,0,0,0,7,L,0,0,NULL,0,0,N,0,N,0,N,0,1,0,0,7,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,milew001,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,7,0,0,0,0,0,0,0,29,2016/04/24,0
ANA201604240,SEA,4,0,0,3,2,FBCBBB,4,3,clevs001,L,clevs001,L,shoem001,R,shoem001,R,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,NULL,NULL,NULL,W,1,0,2,7,14,1,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,0,0,N,0,N,0,N,1,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,30,2016/04/24,0
ANA201604240,SEA,4,0,0,2,1,SBBX,4,3,martl004,L,martl004,L,shoem001,R,shoem001,R,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,clevs001,NULL,NULL,HR/9/L.1-H,0,0,8,8,23,1,1,4,0,0,0,0,0,2,0,0,0,L,0,0,9,0,0,N,0,N,0,N,4,4,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,shoem001,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,31,2016/04/24,0
ANA201604240,SEA,4,0,0,0,0,X,6,3,martk001,L,martk001,L,shoem001,R,shoem001,R,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,NULL,NULL,NULL,D9/L,0,0,6,9,21,1,1,2,0,0,0,0,0,0,0,0,9,L,0,0,NULL,0,0,N,0,N,0,N,2,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,32,2016/04/24,0
ANA201604240,SEA,4,0,0,0,2,CSX,6,3,aokin001,L,aokin001,L,shoem001,R,shoem001,R,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,NULL,martk001,NULL,E5/G.2-3,0,0,7,1,18,1,1,0,0,0,0,0,0,0,0,0,5,G,0,0,NULL,1,5,F,0,N,0,N,1,0,3,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,shoem001,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,33,2016/04/24,0
ANA201604240,SEA,4,0,0,0,0,.X,6,3,smits002,L,smits002,L,alvaj003,L,alvaj003,L,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,aokin001,NULL,martk001,46(1)3/GDP.3-H(UR)(NR),0,0,9,2,2,1,1,0,0,0,2,1,0,0,0,0,4,G,0,0,NULL,0,0,N,0,N,0,N,0,0,0,5,63,46,NULL,NULL,0,0,0,0,0,0,0,0,0,shoem001,NULL,shoem001,0,0,0,0,0,NULL,NULL,NULL,NULL,0,6,3,0,4,6,0,0,0,34,2016/04/24,0
