Guid	GameId	Date	GameNumber	DayOfTheWeek	StartTime	DesignerHitterFlag	DayNightFlag	AwayTeamId	HomeTeamId	ParkId	AwayStartPitcherId	HomeStartPitcherId	HomePlateUmpireId	Base1UmpireId	Base2UmpireId	Base3UmpireId	LeftFieldUpireId	RightFieldUmpireId	Attendance	ScorerRecordId	TranslatorRecordId	Inputter	InputTime	Edit Time	HowScored	PitchesEntered	Temperature	WindDirection	WindSpeed	FieldCondition	Precipitation	Sky	Minutes	NumberOfInnings	AwayFinalScore	HomeFinalScore	AwayHits	HomeHits	AwayErrors	HomeErrors	AwayLeftOnBases	HomeLeftOnBases	WinningPitcher	LosingPitcher	SavePitcher	GameWinningRbi	AwayBatter1	AwayBatter1FieldPosition	AwayBatter2	AwayBatter2FieldPosition	AwayBatter3	AwayBatter3FieldPosition	AwayBatter4	AwayBatter4FieldPosition	AwayBatter5	AwayBatter5FieldPosition	AwayBatter6	AwayBatter6FieldPosition	AwayBatter7	AwayBatterFieldPosition	AwayBatter8	AwayBatter8FieldPosition	AwayBatter9	AwayBatter9FieldPosition	HomeBatter1	HomeBatter1FieldPosition	HomeBatter2	HomeBatter2FieldPosition	HomeBatter3	HomeBatter3FieldPosition	HomeBatter4	HomeBatter4FieldPosition	HomeBatter5	HomeBatter5FieldPosition	HomeBatter6	HomeBatter6FieldPosition	HomeBatter7	HomeBatter7FieldPosition	HomeBatter8	HomeBatter8FieldPosition	HomeBatter9	HomeBatter9FieldPosition	AwayFinishingPitcher	HomeFinishingPitcher
F8F12629-EE78-4EC9-99B8-02F1C0779CBB	SLN201608070	20160807	0	Sunday	116	F	D	ATL	SLN	STL10	foltm001	waina001	sches901	gibsh902	wendh902	laynj901	NULL	NULL	42960	NULL	NULL	NULL	NULL	NULL	1	1	84	8	2	0	0	2	177	9	6	3	11	9	1	0	6	9	foltm001	waina001	johnj010	NULL	incie001	8	aybae001	6	freef001	3	kempm001	7	markn001	9	garca004	5	petej002	4	recka001	2	foltm001	1	wongk001	4	piscs001	8	mossb001	9	hollm001	7	adamm002	3	peraj001	6	moliy001	2	gyorj001	5	waina001	1	johnj010	siegk001
7E2B0C49-7585-4AC9-9CFF-03115203732D	ATL201606010	20160601	0	Wednesday	710	F	N	SFN	ATL	ATL02	suara001	perew001	nauep901	kellj901	tumpj901	porta901	NULL	NULL	15107	NULL	NULL	NULL	NULL	NULL	1	1	80	2	8	0	0	0	218	11	4	5	8	7	0	1	9	4	withc001	law-d001	NULL	NULL	spand001	8	panij002	4	duffm002	5	poseb001	2	beltb001	3	pench001	9	blang001	7	tomlk001	6	suara001	1	incie001	8	beckg001	6	freef001	3	garca004	5	markn001	9	johnk003	4	piera001	2	perew001	1	smitm007	7	law-d001	withc001
5592E965-63B5-4550-80AA-031568F1056D	LAN201607260	20160726	0	Tuesday	711	F	N	TBA	LAN	LOS03	archc001	norrb001	joycj901	fairc901	hoyej901	hudsm901	NULL	NULL	46960	NULL	NULL	NULL	NULL	NULL	1	1	78	3	6	0	0	1	175	9	2	3	6	5	2	1	9	4	norrb001	archc001	jansk001	NULL	forsl001	4	millb002	6	longe001	5	dickc002	7	pears001	3	kierk001	8	guyeb001	9	maill001	2	archc001	1	utlec001	4	seagc001	6	turnj001	5	gonza003	3	kendh001	7	grany001	2	tolea001	9	pedej001	8	norrb001	1	cedex001	jansk001
0C66879F-6983-4220-A3B9-03400CF8BDE2	CHA201604090	20160409	0	Saturday	110	T	D	CLE	CHA	CHI12	andec002	salec001	millb901	randt901	knigb901	ticht901	NULL	NULL	20192	NULL	NULL	NULL	NULL	NULL	1	1	32	7	13	0	0	1	163	9	3	7	7	10	3	1	5	7	salec001	shawb001	NULL	NULL	davir003	8	kipnj001	4	lindf001	6	napom001	3	santc002	10	gomey001	2	uribj002	5	ramij003	7	cowgc001	9	jacka001	8	rollj001	6	abrej003	3	frazt001	5	cabrm002	7	lawrb002	4	garca003	10	avila001	2	shucj001	9	chamj002	albem001
2950D3F0-69CC-4116-81B8-03865E3F44AF	BAL201608200	20160820	0	Saturday	707	T	N	HOU	BAL	BAL12	fierm001	tillc001	scotd901	barrl901	davib902	iassd901	NULL	NULL	39373	NULL	NULL	NULL	NULL	NULL	1	1	86	2	3	0	0	2	201	9	12	2	14	7	0	1	11	8	fierm001	tillc001	NULL	NULL	sprig001	9	brega001	5	altuj001	4	corrc001	6	gatte001	10	reeda002	3	hernt002	8	castj006	2	kempt001	7	jonea003	8	kim-h001	7	machm001	5	trumm001	9	davic003	3	schoj001	4	alvap001	10	hardj003	6	josec002	2	sippt001	flahr001
13534AF0-4DD8-4249-8010-03A28F9D1213	ATL201604210	20160421	0	Thursday	1209	F	D	LAN	ATL	ATL02	kersc001	wislm001	herna901	littw901	barrt901	may-b901	NULL	NULL	18431	NULL	NULL	NULL	NULL	NULL	1	1	72	8	9	0	0	1	208	10	2	1	9	11	1	3	13	8	hatcc002	ogana001	jansk001	NULL	utlec001	4	seagc001	6	gonza003	3	pedej001	8	thomt002	9	herne001	7	ellia001	2	culbc001	5	kersc001	1	aybae001	6	castd001	4	freef001	3	garca004	5	flowt001	2	franj004	9	stubd001	7	smitm007	8	wislm001	1	jansk001	ogana001
71726F2E-C2FE-4BA9-AD8F-042B21EA31CC	BOS201607100	20160710	0	Sunday	136	T	D	TBA	BOS	BOS07	odorj001	pricd001	nelsj901	gibsg901	lentn901	blasc901	NULL	NULL	36669	NULL	NULL	NULL	NULL	NULL	1	1	64	7	8	0	0	0	151	9	0	4	4	8	0	0	5	5	pricd001	odorj001	NULL	NULL	forsl001	4	millb002	6	longe001	5	guyeb001	8	morrl001	3	casac001	2	dickc002	10	frann001	7	arcio001	9	bettm001	9	pedrd001	4	bogax001	6	ortid001	10	bradj001	8	hilla001	5	shawt001	3	brenb002	7	leons001	2	coloa001	ziegb001
5A243FDD-780D-4AFB-B9E4-043C9F821743	DET201608160	20160816	0	Tuesday	711	T	N	KCA	DET	DET05	duffd001	verlj001	scotd901	barrl901	davib902	iassd901	NULL	NULL	28663	NULL	NULL	NULL	NULL	NULL	1	1	77	2	12	0	0	2	163	9	6	1	6	3	0	1	2	3	duffd001	verlj001	NULL	NULL	orlap001	8	cuthc001	5	cainl001	9	hosme001	3	morak001	10	peres002	2	gorda001	7	escoa003	6	mondr003	4	kinsi001	4	mcgec001	5	martv001	10	martj006	9	uptoj001	7	mccaj001	2	saltj001	3	machd001	6	collt002	8	moylp001	lowem002
FB45D1C0-A1FE-4FC0-8A1C-04573482D291	PHI201607200	20160720	0	Wednesday	709	F	N	MIA	PHI	PHI13	chenw001	hellj001	diazl901	hamaa901	belld901	hallt901	NULL	NULL	20654	NULL	NULL	NULL	NULL	NULL	1	1	82	1	7	0	0	2	157	9	1	4	5	12	0	1	3	8	hellj001	chenw001	gomej002	NULL	realj001	2	pradm001	5	yelic001	7	stanm004	9	ozunm001	8	dietd001	4	johnc003	3	rojam002	6	chenw001	1	bourp001	8	goedt001	7	franm004	5	joset001	3	ruizc001	2	parej002	9	galvf001	6	hernc005	4	hellj001	1	mcgod001	gomej002
E76C2D29-5461-42F3-8F4B-0458856FE7D9	NYN201605220	20160522	0	Sunday	112	F	D	MIL	NYN	NYC20	andec001	syndn001	cedeg901	barkl901	wolfj901	johna901	NULL	NULL	40173	NULL	NULL	NULL	NULL	NULL	1	1	66	7	7	0	0	2	179	9	1	3	8	6	0	1	6	6	syndn001	andec001	famij001	NULL	villj001	6	genns001	4	braur002	7	lucrj001	2	nieuk001	8	pereh001	5	presa001	9	florr003	3	andec001	1	granc001	9	wrigd002	5	confm001	7	cespy001	8	walkn001	4	cabra002	6	campe001	3	river003	2	syndn001	1	jeffj001	famij001
